review,result
"At any rate, it's an exciting and well-made film, inspires great conversations, and presents some of the most appealing women characters in the movies.",Fresh
"Eschewing the claustrophobic foreboding of Alien, Cameron takes all the anxieties and fears that had been built in the original and refracts it through his action movie sensibilities to create a smart action thriller.",Fresh
The moment the action is situated in Acheron everything is simplified and loses its mystery. [Full Review in Spanish],Rotten
An often astonishingly engaging and entertaining sequel...,Fresh
"Perhaps the greatest exemplar of science-fiction, action, and horror faultlessly blended together into one film.",Fresh
"[Director] Gutierrez sustains a heightened mood of sex and violence that, without breaking new ground, entertains in the way Gothic flicks do: a combination of cheap thrills and a good old-fashioned crusade against evil.",Fresh
"You can thank a capable cast led by the estimable Lucy Liu, and work by writer/director Sebastian Gutierrez that succeeds in making the formulaic seem fresh.",Fresh
"There are worse things than waking up in a morgue. Like, say, waking up and realizing there's another hour of Rise: Blood Hunter to go.",Rotten
"I wasn't expecting much from director/writer Sebastian Gutierrez, considering his last writing effort was the dismal ""Snakes on a Plane."" But in ""Rise: Blood Hunter"" he offers absolutely nothing new in terms of vampire stories if not a lush noirish atmosp",Rotten
"Mix Blade, a dash of Point Blank, and one of the worst movies you could imagine, and that's pretty close to capturing the experience of viewing Rise: Blood Hunter.",Rotten
"Rise is middling, but not by doing things the wrong way. It's not wild enough.",Rotten
"A dry and dreary little affair, one that's almost shamefully beholden to B-flicks that are a lot more energetic and a lot less intent on being taken so seriously.",Rotten
"It's a blood-red affair thrown together in a dash, a little number that will ultimately get the same kind of treatment from audiences as it did from those who made it: something you might cue up in the DVD player on a whim and forget just as easily.",Rotten
...a far more effective piece of work than one might've expected...,Fresh
"far from perfect, but it's better than most direct-to-video horror you'll find out there. Heck, it's better than some of the theatrical releases we've seen this year",Fresh
"While Rise: Blood Hunter isn't a terrible film, it's a predictable one.",Rotten
"A tedious Blade rip-off. No suspense or scares, but lots of boredom.",Rotten
Torturous vampire bloodbath is a waste for all.,Rotten
"Lucy Liu is always welcome on my screen, an actress who marries intelligence with feminine mystique, bundled with a dry wit and the ability to make action roles credible.",Fresh
"All About Eve (1950), is a realistic, dramatic depiction of show business and backstage life of Broadway and the New York theater. The devastating debunking of stage and theatrical characters was...",Fresh
The film is filled with a nice dark humor that is rare for the I-Like-Ike decade of filmmaking.,Fresh
All About Eve is a film that you see completely differently once you know what's going to happen.,Fresh
"[Bette Davis'] veteran actress Margo Channing in ""All About Eve"" (1950) was her greatest role.",Fresh
"While its attitudes toward women are dated, its wit and perceptiveness are as fresh today as they were in 1950.",Fresh
"The screenplay... may be the most biting example of hard-boiled wit ever to come out of Hollywood, and it is stylishly performed at a breakneck pace by a uniformly expert cast.",Fresh
No other movie makes being smart and cynical look like more fun.,Fresh
It's about the glory of acting.,Fresh
"With dialogue so crisp and poisonous, it makes you wonder where script-driven movies have gone.",Fresh
"The presence of All About Eve, while a relief, is also a sad reminder of how in certain ways movies have regressed in the past 50 years.",Fresh
"It is, unquestionably, one of America's proudest moments, and before you line up for tickets to the new Adam Sandler vehicle, you may want to remind yourself of what movies used to be able to accomplish.",Fresh
Mankiewicz's 1950 gem is a wickedly cynical cocktail of laughter and deceit in which everyone has an angle to play.,Fresh
"Is there anyone alive who hasn't seen All About Eve -- anyone who doesn't love movies, that is?",Fresh
One of the best send-ups of the inside back-stabbing and infighting that goes on in Hollywood ever put to film.,Fresh
Boffo look at the backstabbing backstage world of Broadway,Fresh
"With a towering, self-mocking performance by Ms. Davis...the satire remains as entertaining today, and as relevant, as ever before.",Fresh
"A motion picture that, because of its priceless dialogue and unforgettable lead performance, will never lose its luster.",Fresh
"In spite of the employ of melodramatic tropes such as shifting alliances and power-play seductions, the heart of the film is a woman's fear of aging.",Fresh
"A fine Darryl Zanuck production, excellent music and an air of ultra-class complete this superior satire. The legitimate theatre had better look to its laurels.",Fresh
Mankiewicz's flair for dialog is so perfected that all three actresses shoot fireworks whenever they open their mouths.,Fresh
Outstanding Mankiewicz film with the perfect cast.,Fresh
"Poucos roteiros, em toda a Histria do Cinema, conseguiram reunir tantos dilogos memorveis.",Fresh
"Bette Davis renders her most memorable performance as declining diva Margo Channing in one of Hollywood's wittiest satires of the Broadway theater, but, alas, she was deprived of getting the Oscar.",Fresh
"Forget Foreman vs. Ali, this is Baxter vs. Davis in one of Hollywood's greatest showdowns.",Fresh
Amazing performances top the list of positive qualities in Joseph L Mankiewicz' All About Eve.,Fresh
"The hoped-for tone of Restoration comedy never quite materializes, perhaps because Mankiewicz's cynicism is only skin-deep, but the film's tinny brilliance still pleases.",Fresh
Intelligent script ... mesmerizing performances,Fresh
Still retains its stagy power to provoke theater lovers by its elaborate wit and campy bad taste.,Fresh
[Features] more quotable dialogue in one movie than most screenwriters manage in a lifetime.,Fresh
"There is so much to admire in All About Eve, even for those too young to be drenched in nostalgia for the spectacle of Bette Davis unleashing her sharp tongue.",Fresh
"Apart from the monochrome photography, all that dates the film is the chain-smoking and the fact that these are theatre folk rather than movie stars (frequent in-jokes about the low art of Hollywood pepper the script).",Fresh
"For old-school Hollywood movie-making at its most polished, literate and sophisticated there is really nothing to match it.",Fresh
"Put simply, one of the greatest movies ever made.",Fresh
"The peerless tale of two rival drama queens, playing as the central attraction in the BFI Southbank's Joseph L Mankiewicz season, and rightly so.",Fresh
"Here is a real Christmas treat: a restored version of Joseph L Mankiewicz's jet-black 1950 comedy about Margo Channing, elegant leading lady of the theatre, superbly played by Bette Davis.",Fresh
A total joy.,Fresh
One of Hollywood's finest backstage dramas. If nothing else Davis should have been rewarded for services to the tobacco industry.,Fresh
"Joseph L Mankiewicz's wonderfully literate 1950 classic drama of the theatrical life, All About Eve, is back in the cinema, to be savoured for its language, performances, psychological insights and proof that all the world's a stage.",Fresh
The Zanuck production investiture is +h in every department.,Fresh
"It crackles with smart, smarting dialogue.",Fresh
Sanders...was ideally cast in this role: you can feel in Addison's every word the world-weariness of the actor who would eventually commit suicide at age 65...,Fresh
Classic movie about an ambitious woman.,Fresh
"Along with films such as Luis Buuel's ""Los Olvidados"" and Billy Wilder's ""Sunset Boulevard,"" Joseph Mankiewicz's ""All About Eve"" made 1950 one of the most seminal years in cinema history.",Fresh
All About Eve looks into Broadway's artichoke heart to ring an early death knell for classic Hollywood.,Fresh
"In our celebrity-obsessed culture, it's possible that All About Eve is more important than ever. Scratch that. How about it's more entertaining than ever?",Fresh
Mankiewicz's inside knowledge of show business and its particular personality types gives the film an authenticity and allows for its famously devastating acid wit. [Blu-ray],Fresh
What makes the picture seem so good (what makes it eminently worth seeing) is the satirical touches in its detail and the performance of Bette Davis.,Fresh
Bette Davis is fabulous in this role.,Fresh
"Screenwriting students, you have your Bible. Movie lovers, you have a film that is impervious to the rigors of time, not to mention an inspiration for every prime-time soap opera.",Fresh
All About Eve is deliciously fun to watch with characters playing versions of themselves (most noticeably Bette Davis) and being quite introspective for its day.,Fresh
"Joseph Mankiewicz was Hollywood's midcentury master of comic drama, and All About Eve, from 1950, was one of his signal achievements.",Fresh
"A classic movie, whose qualities remind us that there once was a Hollywood where such sophisticated treats could be made.",Fresh
"All About Eve is not only a brilliant and clever portrait of an actress, it is a downright funny film, from its opening scene to the final fadeout.",Fresh
"Joseph L. Mankiewicz' All About Eve is a rich, impeccably written, gunshot sharp black comedy about an aging actress, the go-getter who seeks to supplant her, and the heaping pile of carefully fostered artisanal bitchiness that they construct.",Fresh
"Joseph L Mankiewicz's film dissects the narcissism and hypocrisy of the spotlight as sharply as [Billy Wilder's Sunset Blvd], but pays equal attention to the challenges of enacting womanhood.",Fresh
"As if Bette Davis wasn't enough, the supporting cast is also fantastically emotive.",Fresh
One of the greatest films of post-WWII Hollywood.,Fresh
"Bette Davis is most certainly at the top of her game playing the crowd favourite Margo Channing,...",Fresh
"It is similar to a good many films that have gone before it, but Joseph L. Mankiewicz, who wrote and directed the picture, has been so ingenious in his treatment of the subject that he has come up with a thoroughly entertaining movie.",Fresh
"All About Eve ranks among the smartest comedy-dramas in many, many years.",Fresh
"...a wise, witty, lusty and adult comedydrama which has to do with intrigue and doubledealing in the world of the Broadway theatre.",Fresh
"n a movie in which everyone is preoccupied with learning all about her character, she remains alluringly, dangerously unknowable.",Fresh
"Writer-director Joseph L. Mankiewicz's enduring masterpiece -- and, incidentally, my all-time favorite film.",Fresh
"a smart, insightful, and darkly humorous drama about the intersections of art and show business and that insatiable appetite we call ambition",Fresh
Screen gems have been rare of late but All About Eve... puts things back in balance,Fresh
"I'm full of praise for the penetrating characterisations, the scathing satire, the bright dialogue, the spiked humor.",Fresh
"In the role of the elder actress, Bette Davis plays with a brilliance that not only is the best acting she has shown us, but just about the best that has been done on the screen.",Fresh
"Never has a film, both in story and in technique, been brought more closely to the stage than All About Eve... Its appeal and its success depend almost entirely on gesture and conversation.",Fresh
All About Eve is in essence a play fabricated into celluloid with absolutely no feeling for pictorial style or form.,Rotten
"Betty Davis gives the finest performance of her career. If there was ever any doubt in your mind that she was one of the greatest of screen actresses, her performance here will dissipate ail doubt.",Fresh
"Acridly cynical (realizing Addison's self-proclaimed contempt for humanity, coupled with insatiable ambition) and somewhat unpleasant, yet highly influential.",Fresh
The kind of dialogue actors kill for.,Fresh
"Making The Family Stone's shenanigans and schmaltz seem downright sophisticated by comparison, Salvador Litvak's Passover-themed film gives Jews an insufferable holiday family comedy to call their own.",Rotten
"Eat soaks up the passions, disagreements, and love the Seder inspires, with the writers capturing the utter chaos of a full dinner table.",Fresh
Unfunny Semitic caricatures. Even worse than 'My Big Fat Greek Wedding.',Rotten
"When Do We Eat? takes place before, during and after a Passover Seder. But you don't have to be Jewish to savor this light and enjoyable comedy.",Fresh
"When Do We Eat? may strike a chord with those struggling to reconcile traditional faith and modernity, though few are likely to buy Ira's post-high transformation into a loving husband and father.",Rotten
...genuinely funny.,Fresh
"In this distasteful film from Salvador Litvak, a Jewish family tries to race through a Seder, but drug use, possible incest and some jokes at the expense of the autistic slow them down.",Rotten
"Though the script never rises above sitcom-style one-liners and sight gags, strong performances invest both the jokes and the syrupy moments of forgiveness and reconciliation with no small measure of, yes, heart.",Fresh
"While it does have some sweet moments and a handful of zingy one-liners, the film all too often resembles a trite dinner theater play that's been minimally 'opened up' for the screen.",Rotten
"When Do We Eat? is as imperfect as the Stuckmans' Seder, yet it has some decent punchlines, a strong cast and a good heart.",Fresh
"Cliches and loud stereotypes as fresh as year-old matzoh infest When Do We Eat?, a farce about a wildly dysfunctional Los Angeles family's disastrous Passover Seder.",Rotten
"A self-consciously zany dysfunctional family comedy, When Do We Eat? strains so hard to be outrageous that it sacrifices characters for caricatures. They might have had something if they'd let everybody relax, be themselves and enjoy dinner.",Rotten
"When Do We Eat? is about as funny, emotionally satisfying and even spiritually significant as this type of thing gets.",Fresh
"If this is someone's idea of dinner and a movie, you might as well skip the movie.",Rotten
[Director] Litvak crams so many earth-shattering revelations and long-buried resentments into 93 minutes that the film feels as if it's struggling to provide something recognizable to every potential ticket buyer.,Rotten
"When Do We Eat? isn't a great film or, necessarily, a particularly good one, but it's a worthy attempt at making an entertaining movie about faith.",Fresh
Not recomended for the Goyim.,Rotten
Another entry in indiedom's contest to create the most dysfunctional family.,Rotten
It borders on painful to see this cast go through the motions of this uninspired script.,Rotten
Watching this movie is kind of like being sprayed with emotional vomit.,Rotten
But even the film's seeming singularity proves deceptive once it becomes apparent that When Do We Eat? is less a Passover movie than a Thanksgiving or Christmas movie dolled up in Jewish drag.,Rotten
"Even Jewish audiences will be hard-pressed to find something to enjoy in this highly stagy, claustrophobic depiction of a Seder populated by one wacky family that seems to include every stereotype in the book.",Rotten
"Its strong cast is loud and lively, and the bickering banter has snap and drive.",Fresh
A cute little Matzoh of a movie.,Fresh
"Crass, chaotic comedy.",Rotten
"The movie's most distinctive feature is its cast, which has the fake lived-in comfort of a TV clan.",Fresh
"Despite the fact that the meal served is kosher, the recipe is so hammy that the movie proves pretty indigestible.",Rotten
"Oh, what a distasteful film.",Rotten
... worth a look.,Fresh
A haunting and disturbing film.,Fresh
"This abrasive Passover comedy-drama is extremely difficult to sit through, and if its makers weren't all Jewish, it would be considered anti-Semitic.",Rotten
Litvak's movie almost immediately barges across the line separating the comically absurd from the outright obnoxious.,Rotten
"Thanks to a great cast and sharp writing, When Do We Eat? is a clever comedy with plenty of black humour and irreverence, all of which leads to contemplative thought.",Fresh
"Manages to be broad, mawkish and mean-spirited all at once.",Rotten
"even with all the strange impractical goings on, as with all in this recent string of popular entertainment culled from authentic orthodoxy, there are moments of sheer breathtaking joy that elevate the spirit of a Jew by speaking to their core.",Fresh
We're basically left with a wild-eyed group of actors who probably had a lot more fun shooting When Do We Eat? than they did watching it.,Rotten
"There's something very sweet and real beneath all the bluster, braggadocio, disgust and denial, pushing through as improbably and miraculously as Moses through the Red Sea.",Fresh
audiences both gay and straight should enjoy the comical and romantic hijinks.,Fresh
"[A] most unfabulous, unfunny, and unwatchable embarrassment.",Rotten
The Mostly Unfabulous Social Life of Then Green is another step back for the gay community.,Rotten
The mostly unfunny -- and unfabulous -- trifle never rises above sitcom level.,Rotten
"A frothy lark with a decided sense of the outrageous, sincere affection for its characters and their romantic plights.",Fresh
It's a dud.,Rotten
A bit like staring at a beauty queen's phonily tight smile for ninety minutes.,Rotten
"Remarkably true to its source: It's none too deep and a tad cartoonish, but also fast-paced, filled with quotable one-liners and often very funny.",Fresh
"This bright, fast-paced adaptation of Eric Orner's syndicated gay comic strip may not break any new cinematic ground, but its sharp, zingy wit and underlying sweetness deftly compensate for the occasional awkward patch or glaring narrative contrivance.",Fresh
"There's so much ill-conceived fluff floating about the 'elusive true love' themes that by the finish, Ethan Green hasn't as much substance as a good Looney Tunes.",Rotten
"Not un-entertaining, but director George Bamer's debut feature may play better on video.",Rotten
"Ethan Green may not exactly be fabulous, but it is pleasantly diverting.",Fresh
"'I'm 19, but I'm petulant' somehow sums it up.",Rotten
"With words streaming out of their mouths instead of into bubbles, Ethan and his gang of past, present and future lovers sound laughingly unbelievable.",Rotten
"No, he doesn't have anything terribly important, or even original to say, but he's funny, flighty and adorable, sort of like a gay Holly Golightly.",Fresh
The film's tone veers from misjudged sincerity to shrill sketch comedy of the broadest stripe.,Rotten
"In his directing debut, David Vernon, formerly a first assistant and second assistant director, opts for the look of a cable TV pilot.",Rotten
This feels like a school play that someone has dragged to film school and turned into a final project.,Rotten
"With its unpleasant characters, inconsistent script and awkward acting, what's not to hate?",Rotten
"The title does its own summing up: mostly, it's unfab.",Rotten
Tiresome romantic comedy that reinforces every imaginable gay stereotype.,Rotten
The drawings of Eric Orner's comic strip on which the movie is based are more animated than the actors who fail to give any dimension to their characters.,Rotten
George Bamber's film is bouncy and agreeable but has a certain flatness to it; never making the case for its existence as a movie rather than a comic strip.,Rotten
There's just not enough real heart to go along with the cutesiness.,Rotten
The Mostly Unfabulous Social Life of Ethan Green can't be accused of false advertising. This adaptation of the underground comic strip is mostly unfabulous.,Rotten
Lead characters who are completely unlikable fly right in the face of what most filmmakers think the audience wants. But I'll take that any day over a blandly nice character.,Fresh
"Writer David Vernon and director George Bamber have adroitly mined the best gags and one-liners from the strip, surrounded Ethan with a Dawson's Creek-quality supporting ensemble...",Fresh
"Not entirely successful, but it's as twisted as a James Ellroy novel, and it may please genre fans who don't require the transubstantiation of spilled blood into the holy water of redemption.",Rotten
"Chris Fisher's Dirty is clumsier and less earnest than Crash, but it's every bit as totalitarian.",Rotten
It is so biased that it doesn't inspire the outrage that Fisher obviously intended.,Rotten
A barely passable cop morality tale. But still passable.,Fresh
Another Cuba Gooding Jr. dud. Don't show him the money -- show him the door!,Rotten
[Director Fisher] appears fixated on Los Angeles as a nihilistic phantasmagoria.,Rotten
"At the end of the antiheroes' ropes, at the end of writer-director Chris Fisher's genre exercise, guns have been drawn, blood has been spilled, cops have been thwarted from going straight, and nothing has changed.",Rotten
"While I have no doubt that real corrupt cops use language like this, it sounds like these actors don't actually know what the words mean. They sound like eighth graders... like Anthony Anderson and Taye Diggs in Malibu's Most Wanted pretending not",Rotten
Cuba Gooding Jr. sheds the halo that has threated to strangle his career by playing a corrupt cop in a nasty little genre film set in Los Angeles.,Rotten
"It makes Training Day seem like a film about good citizenship, but Dirty is also a luxury vehicle for two actors whose every appearance on screen is a boon.",Fresh
"Like the best pulp, though, it gets its hooks into you faster than you can start to wonder why you should possibly care about what happens to any of its despicable characters, and, before you know it, you've been pulled deep into its Dantean vision.",Fresh
"The cinematography of Eliot Rockett is also laudable: The city is not only rendered in the usual hot and gritty texture of urban landscapes, but is imbued with sense of oppression that is palpable.",Fresh
Even the stunningly downbeat ending smacks of sub-Tarantinoesque theatrics.,Rotten
This isn't a film made by someone who knows anything about cops. It's a film made by someone who's seen a lot of cop movies.,Rotten
The machinations of the plot are so murky as to be not worth following.,Rotten
The only suspense is how long it's going to take for this movie to finally drag to an end.,Rotten
"As good as the leads and the supporting cast are, and as much action as gets packed into the film's relatively brief running time, none of it draws us in dramatically.",Rotten
"As the villain, Wyclef Jean exercises an impression-as-accent of John Malkovich's character from Rounders in turn impersonating a member of the Jamaican bobsled team.",Rotten
"Capturing LA as a sepia-toned, sunbaked wasteland just isn't fresh. Why must every LA cop drama take place on the hottest day of the year just as the city is about to explode?",Rotten
"The intentions are sincere, but you'll want to take a good shower after sitting through this mess.",Rotten
"DIRTY boasts about a wayward police drama that needs considerable conscientious washing. Sadly, this perfunctory scrub job simply attacks the same old neglected stained areas.",Rotten
"We get it. All of you guys watched the Tarantino movies and you watched the Peckinpah movies. Enough, give us something original.",Rotten
"...although Dirty isn't much better than some of his earlier efforts, one can't help but admire Gooding Jr's willingness to portray such an irredeemably nasty character.",Rotten
This picture of it is poppin' blanks at too many turns to be considered honest nor a reflection of the real deal.,Rotten
Fisher goes a bit too over the top with a couple of conventions that I wish he'd rein in.,Rotten
"Dirty is a solid ride, and deserves recognition if only because it affords Gooding the chance to reaffirm his acting chops.",Fresh
A no-nonsense dramatic response to the LAPD Rampart scandals of the '90s.,Fresh
This game is so over.,Rotten
A complete cinematic joke.,Rotten
"While the plot device is quite innovative, the execution remains pretty true to the PG-13 thriller formula.",Fresh
"The movie equivalent of junk food: It's not good, but it's predictable and even satisfying, in a low-expectations way.",Rotten
Dead on arrival.,Rotten
It's a test of endurance few will survive.,Rotten
What will terrify the audience very early on is the realization that there's better acting in the video game than on the big screen.,Rotten
It's amazing how little Stay Alive actually knows about the videogame culture in which its terror-lite tale is set.,Rotten
"Debuting director William Brent Bell, who wrote the script with producer Matthew Peterman, keeps the pace brisk and the pot bubbling.",Fresh
"Despite its title, this would-be thriller...is definitely D.O.A. Stay Alive? More to the point, stay away.",Rotten
Stay Alive isn't a total wash if you're looking to kill a Saturday afternoon or night if you get off on hearing little kids scream.,Fresh
Stay Alive consistently proves itself to be the most idiotic film this year that wasn't directed by Uwe Boll.,Rotten
"It's all too predictable, so where's the suspense?",Rotten
This week's stupid but harmless PG-13 cookie-cutter horror film.,Rotten
"makes minimal sense, displays minimal style, and provides minimal entertainment",Rotten
"With all the gamer product endorsements (Alienware, PS2), you'd think they could afford someone to write a better ending for a decent idea.",Rotten
An anemic attempt to update the horror genre's imperiled-teens-meet-bloodletting-uber-fiend substratum.,Rotten
"It's unlikely that Stay Alive could ever have been a good movie in the traditional sense, but it might have been better if Bell and co-writer Matthew Peterman had done more to exploit their gaming premise.",Rotten
"It's too tame to be scary and too silly to take seriously. What it does seriously is waste time, which is fine if you really don't have anything better to do, like, say, count cracks in the sidewalk.",Rotten
Perhaps the worst horror film to not have Uwe Boll's name in the credits.,Rotten
"The star of Stay Alive is a cutting-edge video game, but the film still has hackneyed horror at its heart.",Rotten
This movie will bore you to death,Rotten
A notion of an outline of a rough draft of a killer video-game flick.,Rotten
"There's a fascinating and terrifying story to be told about Elizabeth Bathory, the dramatically depraved 17th century sadist known as the Blood Countess. This ain't it.",Rotten
Maybe video games really do rot the mind.,Rotten
Here's a movie that tries to be a video game but is less entertaining than a vending machine.,Rotten
"This is a cool/potentially creepy idea only if you're in high school and goofing around with your friends at the movie theater. For everyone else, this isn't just a preposterous premise for a horror movie, it's a source of unintentional hilarity.",Rotten
"The hybrid of cyber antics and bayou creepiness doesn't quite jell, but it all ends bloodily, and in an efficient 85 minutes, too. I'm not complaining.",Rotten
"Really silly, but there's nothing inherently unlikable about the movie's silliness.",Rotten
"Videogames are no longer brainless, so why are videogame movies so slow to evolve?",Rotten
"A typical offering in the PG-13 horror-movie genre, ""Stay Alive"" won't surprise anybody, especially the young demographic toward which it is aimed.",Rotten
"Teen fodder like this isn't known for sophistication or storytelling depth, but the filmmakers seem to take the film's video-game theme as permission to eschew even the horror genre's exceedingly lenient minimums for characterization.",Rotten
"Ridiculous and then some, STAY ALIVE offers the usual slasher movie set-up: young people making one wrong decision after another.",Rotten
"Since the director and co-writer William Brent Bell does little to contrast the contrived and mechanical horror of the game with the mounting horror of the story, we can't invest much sympathy in the plight of the characters.",Rotten
"Seriously, Bell, answer me something: does the game kill you when you die on the game? Does the game kill you because you have it in your possession? Or does the game kill you period because you played it? Which is it?",Rotten
Boring!!!,Rotten
The bloody 16th Century saga of Hungary's Countess Elizabeth Bathory is transported to pre-Katrina New Orleans in this occasionally spooky but cheap and inconsequential thriller.,Rotten
"The filmmakers are so at a loss for fresh ways to shock that they even dredge up the twitchy, girl-with-hair-hanging-in-her-face trick from The Ring and The Grudge.",Rotten
"Implausibly tedious, Stay Alive has none of the vicarious thrills of, say, Konami's Silent Hill 2. It's barely even Pong unplugged.",Rotten
Never mind staying alive. You'd be doing well to simply stay awake through all 85 interminably inert minutes of Stay Alive.,Rotten
"If any of these characters were halfway decent gamers (or even hackers), their problems would be solved",Rotten
The dialogue seldom rises above the level of twaddle -- unspeakable in every sense of the word.,Rotten
A lack of logic infects this film like a virus.,Rotten
"... while its narrative style -- elliptical, fragmented, even eccentric at times -- is ambitious and imaginative, it sometimes makes for a loss of clarity and momentum.",Fresh
"Stuttering like a busted console, the film's lack of invention is only rivalled by a paucity of gore which will seem positively comical to gamers long since inured to cyberspace slaughter.",Rotten
"Something of a disappointment and nowhere near as scary as The Ring, which it rips off shamelessly.",Rotten
A cool idea rapidly falls apart. A completely missed opportunity.,Rotten
Never has a title been more horribly at odds with the way you're actually going to feel while watching the movie.,Rotten
"This movie has a nostalgic retro feel to it, like the old Universal horror movies that we now find very funny. But alas, where are all the drive-in theaters to show it in?",Rotten
"...if the filmmakers could have dispensed with the actors and plot altogether, they might have had a better movie.",Rotten
#NAME?,Rotten
click to read full review [Greek],Rotten
"...a little needless brutality would've almost certainly elevated the proceedings, albeit temporarily...",Rotten
"Yeah, the plot sounds like utter nonsense, but it's fun.",Fresh
"If Stay Alive teaches us anything, it's that videogames and horror films do not mix...at least in the same movie.",Rotten
"There's a gothic backstory to all this, which makes no sense but looks pretty cool.",Rotten
"One of those movies that thinks loud sounds and shaky cameras account for scares, and reminding of us of truly scary gaming experiences only amplifies its weaknesses.",Rotten
Any video game character is a better actor than the ones that work here. [Full Review in Spanish],Fresh
"All in all, an unusually amiable and well-made comedy...",Fresh
"Martin has become a superb physical comic, and Tomlin brings some unexpected warmth to a cruelly written part. A manic fuzziness takes over in the last reel and spoils some of the pleasure, but it's still a sympathetic effort.",Fresh
Steve Martin's brilliant physical comedy is only the highlight of this satisfying little giggle-fest.,Fresh
"A decent diversion, but a largely forgettable film. Martin and Tomlin try hard, but don't get as many laughs as they should.",Rotten
"A wonderful showcase for Steve Martin's physical talents, and Lily Tomlin is a scream.",Fresh
One of Steve Martin's best performances.,Fresh
Martin is only occasionally grating with his Jerry Lewis-type mannerisms.,Fresh
Beatiful comedy. Martin acts half-man/half-woman perfectly. Biting cross-gender comedy here.,Fresh
"""All of me"" is very funny, but not too outlandish, risque (at times) but not disgusting. A quality comedy with a heart.",Fresh
Steve Martin and Lily Tomlin showcase their comic zest.,Fresh
"Mr. Martin's astonishing performance is the film's most conspicuous asset, but the entire cast is good.",Fresh
"It scores a lot of points by speculating on the ways in which a man and a woman could learn to coexist in such close quarters. Against all the odds, a certain tenderness and sweetness develops by the end of the film.",Fresh
"Steve Martin delivers a marvelous, physically challenging performance in this often hilarious comedy.",Fresh
"Martin is his usual combination of flat cynicism and crazed childishness, indulging in some inspired Jerry Lewis-like clowning with his arms and legs hopelessly out of synch.",Fresh
"Martin vaults to the top of the class with his brazen, precise performance. This one goes in the time capsule.",Fresh
"Martin does some of his best acting in this film and steals the movie from Tomlin, whose character is, at best, a one-note creation.",Fresh
"Patently ridiculous, but acceptable because of the charm of the characters.",Fresh
...one could not hope for more humor than from this unassuming title.,Fresh
"A lewd, loveable comedy for teens and up.",Fresh
Carl Reiner's likeable and funny comedy about mind and body switching features a great performance from Steve Martin in one of his best roles.,Fresh
"Timeless, indelible and irrefutable proof that Steve Martin is not just among the funniest men alive. He's one of the most thoughtfully funny men alive. Plus, Carl Reiner's devilishly deft touch makes this feel appropriately like 1984 by way of 1944.",Fresh
"His manic thrashing actually hides a very measured and deliberate performance. We can see the twin halves of his body struggling to work in sync, turning a simple walk to the bathroom into a piece of comedic gold.",Fresh
"All of Me shows a fine appreciation for the little weirdnesses of life, and with comedies in short supply, it may provide the best shenanigans of the season.",Fresh
"It's a ridiculous story, and the screenplay stuffs it with low jokes and bathroom humor. Yet a number of scenes are sly as well as silly, and director Carl Reiner knows when to inject a little pathos for a change of pace.",Fresh
...a decidedly out-there premise that's employed to watchable yet far-from-memorable effect by filmmaker Carl Reiner...,Fresh
"Once the body-snare joke is under way, however, invention tends to flag and much of the ensuing humour explores the realms of fairly obvious smut -- brightly enough managed, though, if yon have a weakness for that.",Fresh
"At first the film is content to play the situation for raucous laughs, trading on the embarrassment of two sexes sharing the same body. But, once the parties start experiencing finer feelings, the film finally becomes too awkward for comfort.",Rotten
Most of the film is about as funny as falling off a cliff while trying to solve a crossword puzzle.,Rotten
Martin is hilarious as the man who has to cope with a suddenly split identity.,Fresh
"An absurd fantasy comedy, based on a dumb premise.",Rotten
All Quiet on the Western Front is a classic anti-war drama.,Fresh
"The authenticity of the battles, the realism of its consequences, and the wise use of emotions leave the public with a dry taste, a justified discomfort. [Full Review in Spanish]",Fresh
"Despite some sketchy story elements, much of it is pretty intoxicating -- that is, until the unambiguous life lessons bring pic down to earth with an earnest splat.",Rotten
"After all the put-upon jokes about trailer trash, finally here is a place where the terminology of community really defines itself.",Fresh
An atmospheric ensemble piece boasting several richly portrayed characters.,Fresh
The gossamer spell is undone when the script topples into melodrama and then a too-tidy resolution.,Rotten
"Dreamland might be found on a dirt road outside Sundance, but it's a path that all too obviously leads to Hollywood.",Rotten
The awe-inspiring New Mexico scenery and light and the performance of lead actress Agnes Bruckner lift this teen drama above the usual fare.,Fresh
"The filmmakers were clearly not interested in the ending but in exploring the characters and the situation, and they do that with sophistication and genuine feeling, both for the people and the environment.",Fresh
As swoony and verbose and serious as an adolescent's journal entry.,Rotten
"The performances are all fine, with Bruckner and Corbett the standouts as a parent and child with roles reversed after a death in the family.",Fresh
a long way to go for such a tepid lesson,Rotten
...there's little doubt that the film heralds the arrival of a promising new director.,Fresh
"The cast is solid, the characters fascinating, the direction notable, the story shaky.",Fresh
"As the mother of a preteen daughter who has dragged me to a number of teen movies, I was captivated by this strange mutant of a movie. There is skill here, and some poignant scenes that stayed with me, including a first kiss scene that's one of the bette",Fresh
"As coffee drinkers know, not all beans are equal, but the meaning of inequality gets an entirely different spin in Marc and Nick Francis' handsome and astute doc, Black Gold.",Fresh
Nowhere near as probing as it could or should be. Valuable points are blunted by too many talking heads.,Rotten
"There is obviously a serious imbalance here and even if the filmmakers don't get the complete picture, they at least make a case for the farmers themselves.",Fresh
"Black Gold, a compelling documentary about the international coffee industry, might discourage you from ever drinking a cup of joe again. At the very least, it'll make you think deeply about what's going into that cup.",Fresh
